0	1
fear	"Traveling as the only female in a railway carriage in the middle  
of the night in Italy."
joy	A recurrent lovesickness.
anger	"I was angry at my brother over an argument we had together.  We  
do have a few fights from time to time, and also at times I take  
out my anger on him."
fear	"I was at the cinema with my sister and her boyfriend.  A man  
sitting beside me started to stroke my leg for a while, he left in  
the middle of the film."
sadness	"When a pet died. The pet was the closest friend I had for 15  
years."
sadness	"My mother unjustly became very angry with me and sent me to my  
room while my father explained that the way she saw things was  
not correct. I had done things with the best intentions."
fear	In #Bangladesh war, #US almost bombed us had #Russia not been there. What strategy for #China on #Pakistan? Time ripe to crush #terror camps
anger	"My fiancee and I were at my parent's place watching TV. There  
were  only two TV-chairs and we were sitting on them when my  
drunken brother came in and rudely chased my fiancee off the  
chair she was sitting on."
fear	"Once I was very frightened at night as I had a very fearful and  
terrifying dream, I could not go back to sleep for a long time."
anger	Y'all bitches be so angry and bitter, that must truly suck lol
anger	My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.
fear	When I failed my first exam at the Higher Institute.
fear	"When I was the first to arrive at the scene after an accident,  
and found that a close school friend had been killed."
sadness	"When my dog died.  I had reared it for nearly three years.  It  
had been ill for several days and had not eaten anything.  One  
morning I found it dead."
joy	When, after a long time of searching I got my first job.
anger	"When a friend told me that my education had nothing to do with  
our discussion.  This friend has failed the 7th grade, what made  
me angry was that I had not used my education to argue."
anger	Connie's fuming at Bake Off and went 'fuck this I'm starting on the vodka'
anger	When I failed an exam I thought I would pass.
sadness	Saw a father beating up his small child.
sadness	Feeling worthless as always 
anger	@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky
sadness	"The breaking up of a relationship.  We decided that the  
relationship could not carry on, so it was no surprise to me.  
And anyhow, I had known it would happen sooner or later."
sadness	"When my family and I heard of the death of my grandfather.  We had  
 seen him a few weeks earlier and it seemed that he had just been  
waiting to see us."
fear	"After mischieviously ringing on the chemist's trade-entrance  
doorbell and getting caught by him."
joy	It's meant to be!! #happy #happy
sadness	When my sister left home to go and live with her husband.
anger	"[ Whenever I put myself in other's shoes and try to make the  
person happy, comfort him or make friends and I am misunderstood  
and rejected, especially when this person is a family member or a friend.]"
joy	"When I gave birth to a child and saw that it was normal when it  
was put against my breast."
sadness	"In May 18th, 1984 my boyfriend went to the U.S.A. In December I  
was told he passed away. He had cancer of the Oesophagus."
joy	"Can't remember specific event - besides just being moderately  
happy until a year or so ago."
sadness	When my aunt passed away in early 1982.
fear	"We were on the road in a car when a lorry bypassed us.  We had to  
swerve and we almost got run over."
sadness	I believe the work I do is meaningful; my clients would agree but at the end of the day, I feel like a pawn, lost in this chaotic world.
fear	"On the way home one Friday night in the heavy rain the car  
acquaplanned.  I lost contact with the road surface for a few  
seconds."
anger	"I came across a girl at the school bus-stop, I had seen her  
several friends as she was a friend's friend.  However my friend  
had never introduced me to her and when she got off the bus I  
smiled at her but she did not respond pretending not to have seen  
me.  Her arrogant behaviour made me sick and angry."
joy	"When I heard that I had got the best result in school and would  
be definately selected to the university of Zambia."
joy	I got a present from a great friend (a dog).
joy	Finding out that the person I love understands me.
joy	"When I was accepted for further education, here at the  
university."
joy	@scdesc Yup. And Val basically ignoring the recipe. I'm just done. I keep bursting into laughter x
joy	When I was able to buy my new car, after lots of problems.
joy	Joy at meeting a woman I love very much.
fear	"My friend started to misunderstand and hurt me.
"
sadness	"When I lost my grandmother.  She had been my guardian after the  
death of my father."
anger	Being mistreated by other people.
anger	"I missed the train and had to wait for the next for two hours.  
For this reason I missed an appointment which had been very  
important for me."
joy	When I first came to the campus.
sadness	i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.
fear	A relative died.
sadness	"When I began to read a thick book, which I had a limited time to  
read.  Also when I have a lot of work to do and I cannot keep up."
fear	"When I have to go in for an exam and the examinor is a person  
with a whimsical character and unsteady requirements."
anger	"I felt angry when I was told that I had not been selected to go  
to the University."
joy	"After my girlfriend had taken her exam we went to her parent's  
place."
fear	"I stayed alone in the dark at night in the mountain, waiting for  
my uncle.  I remember that I took a big stone and it calmed me."
fear	"Just before I started my study I had to move, I was very afraid  
to be left alone and that I could not manage it."
anger	After having quarelled with a relative of mine about politics.
anger	"I was most angry when India lost the Triangular Cricket trophy  
held in Australia.  I was so angry that I fought (orally) with my  
friend."
fear	@TimesNow indian army crossed loc into pok to bust terror camp on 20th Sept night?
sadness	Groom gloom.
anger	@Austin4evaLEEDS fuming!
anger	"At one of my close friends saying she didn't like the way I am  
nice to people I don't know, or who have been nasty to me."
sadness	@chocorobos I have this one so I'm not so sad.. but wtf
joy	"I was for the first time on a brigade this year. At that time my  
sister was to bear a child. I was mad with joy when I opened the  
telegram from my parents and learned I had a nephew."
fear	"This was when I was being followed home every day from the campus,  
by a stranger.  He would follow me to the campus and then sit  
outside my class.  If I was not there he would ask my friends as  
to where I was.  He was a dark, ominous looking person and I was  
terrified of him as I did not know his intentions.  I reported  
him to the security officer, who turned him over to the police.   
I was even more petrified then."
joy	Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby
sadness	"When I came to know that a girl I was fond of already had a  
boyfriend."
joy	"I was seriously injured in a road accident. The very first steps  
I took with only one crutch to support me I felt so good. I enjoy  
being alive."
joy	Getting back with my boyfriend after a year away - apart.
anger	Update. It's hot as shit and its fogging up my glasses. #pissed
fear	"When I was stopped by plain clothes policemen because the car I  
was driving had overturned on the Avenue.  I had been driving too  
fast, and I was afraid when I was stopped, questionned and then  
toild to go.  The situation ended happily since there were no  
consequences."
joy	When I got engaged to a boy of my choice.
anger	"When my sister took something that belonged to me without my  
permission."
sadness	What's good is that we already hit rock bottom, even though I'm about two more seasons away from new depths of despair. #playoffs? #NJDevils
sadness	"My friend got married and went abroad, this made me feel sad and  
lonely."
fear	"When my neighbour's life was threatened by someone who was trying  
to break into his house."
anger	[ An unfair punishment.]
anger	it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao
joy	"When I heard that a good friend, who had been abroad for a long  
time, would come and see me."
joy	When I get a hug from someone I love.
sadness	"After hearing the news about the death of my sister, I felt very  
sad."
fear	"A rainy day, I was cycling downhill and a car door suddenly  
opened and while trying to avoid it the back wheels of my bike  
got caught in the tram tracks.  I somersaulted but had no  
injuries."
sadness	When boyfriend could not stand up to his mother or for himself.
sadness	Failed an examn.
joy	"Did well in an examn just before my father's birthday: the best  
present I can give to my father."
fear	bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy
sadness	i am le depressed i l hate myself xDDdD #sad #depress #loner #emo
anger	"A friend of mine promised to come with me to the cinema but he  
didn't come."
anger	When I got low marks in B.Sc final.
sadness	"When my grandfather died, I saw my grandmother crying against my  
aunt's shoulder (I had never seen my grandmother cry before)."
fear	"Before getting back the results of a test in school, when I had  
worked very hard and was worried about not succeeding."
joy	My son passed grade 7 and was accepted for form I.
joy	My 3 children - each top his class in the final exams 1984.
joy	It was very hard to stifle my laughter after I overheard this comment. It really is amazing in the worst ways.
fear	Left alone in the biology building surrounded by empty buildings.
anger	"My parents are divorced, father pays alimony for me. Two years  
ago my sister who lives with father, suddenly asked mother for  
money. As she considered the amount of money my mother offered  
her too small, she brought an action against mother. I was  
terribly angry with my sister."
anger	@winksahoy we about to get shit on by the wrath of winter out of nowhere
sadness	@TDYLN sadly not :(
fear	"English papers are due on Friday. They are returned on Tuesday.  
This Tuesday I was afraid to go to class and get my paper because  
I knew it was bad."
anger	"I was angry with a person who behaved terribly at a ball  
offending her relatives."
sadness	Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired 
fear	[ I was thinking about death.]
joy	i made a squirrel friend today! i gave him the core of the plum i was eating. he seemed very happy.
anger	Remember when Julia thought she was pregnant with Michael's baby and I was so happy about it and then the storyline got dropped. #pissed
joy	"When I received the best actor award at the inter-college drama  
competition.  It gave me tremendous joy and satisfaction which  
lasted for several days."
anger	"When I found out that my sister had been playing with my  
confidential things which she had taken from my hand-bag."
anger	"When my mother slapped me in the face, I felt anger at that  
moment."
sadness	amateur author Twitter might be the most depressing thing I've ever seen
anger	"I wanted to go to Bhopal for relief work (gas tragedy).  My boss  
simply refused to let me go, I was so angry that the only thought  
that came to my mind was to quit the job."
anger	Quarrel in the family.
sadness	U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost 3am...  #pensive
sadness	@lucy_hyner @Soulboy2266 sadly not !! One less hour drinking time 😢🍻
joy	"When an old schoolfriend phoned me to arrange an appointment to  
talk about old memories. I hadn't seen him for 8 years."
fear	"While trying to board a train I missed the footsteps and fell  
down on the platform."
fear	I've seen the innocence leave your eyes. I still mourn this death.
sadness	When my grandmother passed away.
anger	My anger is boiling over.
anger	[ When I was treated unfairly, regardless of my motives or deeds.]
sadness	The death of a close friend.
sadness	"All my friends arranged to go for an afternoon snack and they did  
not tell me.  They told me that they did not have my phone number  
but I do not think that this was true."
sadness	"Losing my job that I had for 4 summers. I took it personally and  
cried for 6 hours off and on. I wanted to hide away and did for a  
few days."
fear	im literally shaking bc im nervous and bc its fucking cold oh how i love life
joy	"When I passed the whole weekend with my boyfriend, coming back  
home on Sunday afternoon he met my parents for the first time."
fear	my husband lost £800 when he booked an apartment through @Airbnb that didn't exist... @AirbnbHelp didn't care #nightmare #airbnbnightmare
joy	I felt joy when I entered at the University.
sadness	[ When friends and colleagues talk bad about me.]
sadness	"When my father was imprisoned for burning the house of his  
younger brother."
fear	"I was about to begin a journey in a car with an acquaintance of  
mine."
sadness	Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college
sadness	The sudden death of one of my parents.
joy	When I passed the B.A exams with first class results.
anger	"At school teacher for not allowing us to go out on New Year's Eve  
when on a class trip overseas."
anger	"My sister borrowed some LP records for a party. She had left them  
in the car on curatao. Due to the heat they were crooked, so I  
couldn't play them again."
anger	"Being refused to attend the neuropsychology lecture in the  
medical university."
fear	I get so nervous even thinking about talking to ****** I wanna die
fear	"Once our school class went skiing. On a steep slope a boy  
standing behind me lost his balance, fell down and drew me with  
him. I slided down the whole slope. At about 1 m distance from a  
tree I could stop."
sadness	"I heard that a former superior of mine had died, I was later at  
home home reading about it in the newspaper and I thought of our  
interaction and how it was no longer possible.  The limited scope  
of human life is sad."
anger	Honestly Michael Clifford is so fucking ugly who let that rabid dog make music
sadness	"A friend of mine, who had repeated a year at school once before,  
did not pass the final examination and had to take it again half  
a year later."
fear	"When one meets new people with whom one is forced to collaborate  
with."
fear	@FoxNews Yeah we're also experiencing terrorist attacks by Islam and #BlackLivesMatter at an alarming rate.
fear	"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down."
joy	in love with @BarberCeleste  insta!!!... #hilarious
fear	"I was looking after my father's sheen in the forest. One day  
while playing with friends from neighbouring villages the flock  
escaped me and went into a far place. It became dark and I was  
afraid of father. I went home and hid myself."
joy	"I went shopping with my parents - my father payed everything for  
me, I was very glad."
joy	"After watching the 49ers lose game after game, year after year, I  
was finally rewarded with a Super Bowl victory which made me  
extremely happy."
fear	A nation with a large part of the population living in #fear  of the police is neither #great nor #free  - it's actually a #fascist  nation
sadness	Honestly today I just felt like maybe track isn't for me 
anger	"I had been having a heated argument with a lover - whose  
intention was that we should marry in the near future - and was  
rejected by her when I started to cry. When I stopped crying for  
a moment she said ""There, have you got it all out now ?""."
joy	"My 21st birthday celebration, when I cut the cake and received  
the presents."
anger	Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! 
joy	"After going through much shame, I became a Christian and  
something new happened in my heart.  Joy that overflows was  
manifest in me."
joy	When I got my B.A degree with first class.
sadness	"When my dad gives priority to my kid brother's band and his  
other activities.  We both play in different bands and rehearse  
in my parents garage."
anger	"During a football match, the other team was rude and they hurt my  
team members and me.  The coach was prejudiced against us and  
punished us unreasonably.  Later we fought with each other and  
the match had to be cut short."
joy	Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest 
sadness	"When I found out that I had failed to pass my exams during the  
term by one point.  The fact that exactly the same thing had  
happened last term did not help."
joy	When India first won the world cup cricket tournament.
sadness	Breaking up with a girl.
joy	When I can see my parents because now I am far from them.
anger	"When, after having cleaned up the kitchen, two hours later I saw  
that there was a big mess. It irritated me very much."
fear	"When the car I was driving skidded on an icy road and landed in    
a ditch with one side against a rock."
joy	After each successfully passed exam I am happy.
joy	@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) 
fear	@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?
joy	#happiness #recipe: an open mind, #laughter, a kind #heart &amp; 
fear	Facing a mad dog.
joy	"Every year during carnival I am very joyful I have an intense  
feeling of happiness then."
fear	So she goes first. She gets her book signed &amp; I can barely take their picture cuz I'm shaking 😭😭😭😭😭
anger	I felt very angry after one driver had run over my beloved niece.
anger	"I came home one day and discovered that my sister had borrowed my  
car and had gotten into an accident with it. My entire front  
bumper was destroyed."
fear	"Riding through a bush fire on an island of Australia - on a  
pushbike as a little boy - all alone, lost and surrounded by  
smouldering wood and flame."
sadness	There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released...
joy	[ A successful lesson.]
fear	Left alone in the dark in a big building.
joy	"The day I was told that I had been accepted as a student of  
economics."
joy	"My boyfriend was playing with my cat. He was playing games with her  
and telling nice things to her. "
fear	Quiet frankly appalled at the shocking working conditions for @CampNorthwood staff this year. Access to wi-fi prohibited. What's going on?!
anger	This class makes me fucking angry!
anger	@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...
sadness	From the fact that my husband and I are not in good terms.
joy	"One of my friends and I had breakfast in a restaurant. It was  
spontaneous and lots of fun."
joy	"When I saw that the mark I had obtained in an exam was a good  
one."
anger	"On the TV news I heard that Nicaragua had complained about the  
increasing threat of war with the USA."
sadness	"Watching an old lady running up the street to catch her bus and  
miss it, it reminded me of my own mother and how dreadful it  
would be to be her in the same situation."
fear	Whhen the front tyre of the car burst.
anger	@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits
joy	second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL 
fear	"One day I was busy day dreaming along the road and suddenly I  
heard the sound of jamming car braked behind me. I woke up from  
my dreams and it was about to crash me."
joy	I'm always smiling so that's why I'm always happy 😂
fear	"I was fearful when I realised that the relish was overcooked  
simply because I was not keen enough at checking whether there  
was still enough water in the relish or not, instead I was just  
playing with my friends."
anger	"I was having an argument with my brother on his behavior, then we   
started fighting and I got annoyed at him because he started  
teasing me."
sadness	#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me
anger	Someone spread rumours about me.
anger	How we are ruining America is a false Liberal slogan, conveying resistance folk shrieking out in impotent rage about the losing bigly.
sadness	@faye_catherine happy anger sad melancholy confusion #woodspurge
sadness	Been a while since I been sober. This life can be so hard
fear	"When I was a child, I was always afraid of my father. Just when  
he looked at me, I felt frightened."
anger	"I was on a farm with a few friends and during the talk I  
discovered that a friend of mine, was being betrayed by her  
boyfriend and a 3rd friend of ours."
joy	"After sitting for the Standard 8 Exams for the second time in  
1979, I had great joy when I heard that I was successful in the  
Examination when the results were out."
fear	i had a panic attack the other night because i thought my mum was out but she was actually downstairs and she started bashing around hrjdjd
sadness	I had to give up my love, because it did not work out well.
anger	@ChurdAllan fucked my coupon that goal! 
fear	I have to be completely honest, this era triggered my anxiety quite a lot... the things Hayley talk about is what I have a big fear in...
anger	I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road 
joy	"When after 10 months of national service I was ""downgraded"" and  
did not have to do the remaining 5 months."
joy	Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:)
joy	"When I passed the B.A exams and my parents allowed me to carry on  
my studies and do a M.A. , I was very happy."
joy	"When I dived among sharks and the brightly coloured fish on the  
outer reef of Tvavni, Fidgi."
fear	"I awoke at night and did not remember dreaming about antthing in  
particular.  I just felt oppressing fear, it was dark and all the  
others were sleeping."
joy	"When I gave birth to my son and saw that he was alive and that I  
had managed it well.  He was born a month too early with a  
malfunctioning lung.  This happened a year ago."
anger	"I felt angry when I heard that my sister had failed the  
Examinations which we hoped she was going to pass with  
distinctions."
joy	What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg 
joy	When I passed my final examination at school.
joy	"[ During inter-rail-trip, after troubles, I met my little  
sister.]"
sadness	@RobertWesley3 I'm #mad that my brother is #sad ! Feel better bub!
anger	"The comrade staying next doors insulted me for what he called   
the misuse of his iron.  He called me stupid, self centered etc.   
I wanted to punch him but instead went for a walk to the mining  
school to cool off."
fear	Can think of no time that I have felt fear.
sadness	this country is going to go to crap no matter who wins this november, isnt it? The more i learn of both the more despondent i am of future
fear	Before taking an exam.
anger	An unjust calumny concerning me.
joy	Be content .... Life is too short. #smiling
joy	When I passed the B.A exams with first class results.
anger	Listening to long speech of the party leaders wasting my time.
anger	I'm still bitter about the fact that I didn't get the Php 10/liter promo.
anger	Probably gonna end up seriously poorly at some point soon, so tired, and go from freezing to boiling in the space of seconds
sadness	"I had a long discussion on politics with an acquaintance.  He  
was more knowledgeable than me and I failed to explain my point  
of view and was misunderstood so I felt depressed and left."
joy	I felt joy when my two twin sisters were born.
fear	My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... 
anger	"When my aunt told me angrily that I was a good-for-nothing and  
she was fed up with my behaviour."
joy	She'll be bribing her parents with hearty laughter and giggles :) #Loveet
joy	"When I got through the examination for my driver licence, and  
when I finished I knew I had passed it."
anger	"My mother treated me unjustly as if I was a little child. I said  
mean things. I was unable to defend myself adequately."
joy	"Being miserable in a party when other people are friendly and  
happy."
anger	"When close relatives tried to dissuade me from studying  
Psychology because of its low status."
joy	"When I was selected to start Form I at Chilumba Secondary School  
out of the 100 pupils I was among the 4 who were successful.  
Family History showed that I had done better than all my brothers  
who had passed after repeating for several times."
joy	"Day before yesterday my mother bought me a new pair of shoes,  
without my having asked for them.  She told me that when she saw  
the pair of shoes she felt like buying them for me.  I really  
liked the shoes and they made me feel that my mother cares for  
me."
fear	"I was playing with friends then I decided to splash some sand  
into a car which was moving nearby. The driver got angry and came  
to report to my parents."
fear	Mugged while on holiday in the U.S.A.
sadness	When I heard that my nephew had passed away.
anger	"I was accused of having drunk a bottle of liquor and then  
refilling with water."
anger	"In 1983 a sadist provoked my sister in my presence.  He tried  
to force my sister into accompanying him to his place, but my  
sister did not agree and so she was kicked and she fell down.   
There was a fight."
anger	"One of my colleagues accused me of having stolen his iron and I  
was sure that I had done no such thing."
sadness	@MCFCDenver doing the exact same minus the beer sadly
anger	People hunting animals.
joy	Proverbs  27:9 Ointment and perfume rejoice the heart: so doth the sweetness of a man's friend by hearty counsel.\n#TruthfmDawnBreak
sadness	When the relationship with my girlfriend broke up.
joy	"When I was 17, I had a mystic vision. I melted into a dazzling  
light, which omitted perfect love. The physical experience became  
unimportant, I heard or saw the words ""overcome egotism"". The  
feeling of joy remained for month after that experience."
sadness	"When I realized that I could not communicate properly with my  
closest friend."
anger	"When I learned that several people had died in the street due to   
the cold weather."
anger	"Finding out about the university does not have enough foreign  
currency to buy the yournals in your reference list."
anger	"I had a date with my girlfriend, the time and place had not been  
fixed.  I asked her to phone me an hour later as it was midnight  
and I did not want to disturb her family.  I waited several hours  
for her call, she did not call me that night."
anger	"My girlfriend disliked it when I played majong (a game of gambling).   
I expressed my regrets and when I went to see her she neglected my  
existance.  I was very angry and left in displeasure."
anger	The majority of people irritate the fuck out of me, cba with people ahahah
joy	"I received a letter and a Christmas present from a person I had  
not seen for two years."
anger	Not finishing my duty as a class leader.
fear	Finding out that a boy I do not like is in love with me.
fear	A terrible fight that I provoked with my friend.
sadness	Often a dog which is treated very badly by his owner comes to us.
joy	I passed an exam which I thought I had failed.
sadness	The death of a relative, friend, or someone I esteem.
sadness	"When I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else."
joy	"I was very pleased and happy when my older sister came home from  
living somewhere out of town and I hadn't seen her for months. We  
are very close sisters."
sadness	If Troyler will die, I'm gonna die with them\n#troyler #sadness #fuckin'lifeisnotafairytale
fear	Speaking in front of a large group of people.
anger	I was angry this morning when I missed the train to university.
sadness	hmm somehow twitter feels really depressing, more like negative today...I think I missed something 😕
anger	@dailysunsa Jerrrrrr a woman is been stabbed in the face and now guys r arguing about her ass being real or not hehehee 
fear	"A friend gave me a lift and we met a road-block.  He tried  to  
turn back when an officer shouted at us to stop.  My friend took a  
turn suddenly and the officer raised his gun but by the time we  
were gone."
fear	"After having watched a crime show on the TV, I was about to take  
the dog for a walk. Then, suddenly, there was a man on the  
porch... (We live some distance away from other people)."
joy	"When I drove partially across the country with my father. We  
stopped in a few towns and stayed overnight in motels. The joy I  
got was from the feedom I felt and the real beauty of the  
country."
fear	@RosieBalls I fear for the future of mankind
joy	My father promoted to be a professor.
sadness	Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL
joy	"I had the unexpected possibility to see a friend I like very  
much."
sadness	Lost my girl-friend.
sadness	Most days, I don't know what my heart beats for. #depression
sadness	"When a friend of mine told me that he was going to commit  
suicide."
anger	My friend misunderstood me.
fear	Tomorrow is the day I cut and dye my hair! 😳 #nervous #excited
joy	"I got a letter from my best friend, whom I had not heard from for  
a long time (a good letter)."
